Número do Laudo,UNIDADE,TIPO DE AMOSTRA,TIPO DE COLETA,PONTO DE AMOSTRAGEM,MANANCIAL,LOCALIDADE,COD. PONTO,ENDERECO,SETOR,INTERESSADO,PARAMETRO,Metodologia,FRASCO,LIMITE INFERIOR,VALOR RESULTADO,VALOR LITERAL,LIMITE SUPERIOR,DATA DE COLETA,DATA DE ENTRADA,FORA DO PADRAO
N?  2213254-A/2213254/UN-BSC,UN-BSC,Água Bruta Classe 2,Completa,Tomada d'água do açude,Açude Colinas,QUITERIANÓPOLIS,286282,Ponto COL-01 Nº Amostragem 51.254,COGERH,COGERH/UNBPA,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2718,0,124,124,1000000,22/05/2019,22/05/2019,0
N?  2197308-A/2197308/UN-BSC,UN-BSC,Água Bruta,Completa,Tomada d'água do açude,Açude Flor do Campo,NOVO ORIENTE,203442,Ponto FLC - 01,COGERH,UN BPA / COGERH,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2719,0,80,80,10000000,22/05/2019,22/05/2019,0
N?  2192525-A/2192525/UN-BSC,UN-BSC,Água Bruta Classe 2,Semestral,Próximo à captação,Açude Carão,TAMBORIL,189908,SDO - Açude Carão,UNBPA-TAMBORIL,UNBPA - TAMBORIL,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2720,0,176,176,1000000,22/05/2019,22/05/2019,0
N?  2192539-A/2192539/UN-BSC,UN-BSC,Água Tratada Saída Sistema,Semestral,Torneira de água tratada do laboratório,Açude Carão,TAMBORIL,145821,ETA Tamboril,UNBPA-TAMBORIL,UNBPA - TAMBORIL,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2721,0,132,132,1000000,22/05/2019,22/05/2019,0
N?  2192528-A/2192528/UN-BSC,UN-BSC,Água Tratada Rede de Distribuição,Semestral,Torneira de entrada,Poços Tubulares,TAMBORIL,259242,"Escritório da Cagece - Travessa Rui Barbosa, s/n, Centro",UNBPA-TAMBORIL,UN-BPA - TAMBORIL,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2722,0,218,218,1000000,22/05/2019,22/05/2019,0
N?  2192541-A/2192541/UN-BSC,UN-BSC,Água Bruta,Semestral,Saída do poço,PT - 05,TAMBORIL,324285,"Rua Ana Branca, s/n, Vila São Pedro",UNBPA-TAMBORIL,UNBPA - TAMBORIL,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2723,0,334,334,10000000,22/05/2019,22/05/2019,0
N?  2192543-A/2192543/UN-BSC,UN-BSC,Água Bruta,Semestral,Saída do poço,PT - 14,TAMBORIL,287622,"Rua Davi Batista de Sousa, s/n, Monte Azul",UNBPA-TAMBORIL,UNBPA - TAMBORIL,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2724,0,238,238,10000000,22/05/2019,22/05/2019,0
N?  2192546-A/2192546/UN-BSC,UN-BSC,Água Bruta,Semestral,Saída do poço,PT - 15,TAMBORIL,275224,"Rua Felisbela Maria de Holanda, s/n, Monte Azul",UNBPA-TAMBORIL,UNBPA - TAMBORIL,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2725,0,176,176,10000000,22/05/2019,22/05/2019,0
N?  2192556-A/2192556/UN-BSC,UN-BSC,Água Bruta,Semestral,Saída do poço,PT - 16,TAMBORIL,289502,"Loteamento Tamboril Vile, s/n, Vila Olga",UNBPA-TAMBORIL,UN-BPA - TAMBORIL,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2726,0,370,370,10000000,22/05/2019,22/05/2019,0
N?  2192561-A/2192561/UN-BSC,UN-BSC,Água Bruta,Semestral,Saída do poço,PT - 18,TAMBORIL,289502,"Loteamento Tamboril Vile, s/n, Vila Olga",UNBPA-TAMBORIL,UN-BPA - TAMBORIL,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2727,0,270,270,10000000,22/05/2019,22/05/2019,0
