Número do Laudo,UNIDADE,TIPO DE AMOSTRA,TIPO DE COLETA,PONTO DE AMOSTRAGEM,MANANCIAL,LOCALIDADE,COD. PONTO,ENDERECO,SETOR,INTERESSADO,PARAMETRO,Metodologia,FRASCO,LIMITE INFERIOR,VALOR RESULTADO,VALOR LITERAL,LIMITE SUPERIOR,DATA DE COLETA,DATA DE ENTRADA,FORA DO PADRAO
N?  2191787-A/2191787/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Próximo à Captação,Barragem do Quincoê,ACOPIARA,224701,"Rua Luiz Gonzaga de Mendonça, s/n",UNBAJ-ACOPIARA,CAGECE - UNBAJ,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",2,0,"78,16","78,16",1000000,24/05/2019,24/05/2019,0
N?  2191803-A/2191803/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Saída do poço,Poço,CARIÚS,327714,Sítio Mirador - Cariús,CARIÚS-COLETA PARTICULAR,Francisco Pereira Albuquerque,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",230,0,"178,37","178,37",1000000,22/05/2019,22/05/2019,0
N?  2215502-A/2215502/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Saída do poço / Água bruta,Poço,ACOPIARA,329134,Sítio Boiote - Zona Rural de Acopiara,ACOPIARA - COLETA PARTICULAR,José Pinheiro de Souza,Alcalinidade - Bicarbonatos,"2320 B, SMEWW 23rd Ed., 2017",262,0,"202,42","202,42",1000000,07/08/2019,07/08/2019,0
N?  2191787-A/2191787/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Próximo à Captação,Barragem do Quincoê,ACOPIARA,224701,"Rua Luiz Gonzaga de Mendonça, s/n",UNBAJ-ACOPIARA,CAGECE - UNBAJ,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",2,0,0,Ausente,1000000,24/05/2019,24/05/2019,0
N?  2191803-A/2191803/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Saída do poço,Poço,CARIÚS,327714,Sítio Mirador - Cariús,CARIÚS-COLETA PARTICULAR,Francisco Pereira Albuquerque,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",230,0,0,Ausente,1000000,22/05/2019,22/05/2019,0
N?  2215502-A/2215502/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Saída do poço / Água bruta,Poço,ACOPIARA,329134,Sítio Boiote - Zona Rural de Acopiara,ACOPIARA - COLETA PARTICULAR,José Pinheiro de Souza,Alcalinidade - Carbonatos,"2320 B, SMEWW 23rd Ed., 2017",262,0,0,Ausente,1000000,07/08/2019,07/08/2019,0
N?  2191787-A/2191787/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Próximo à Captação,Barragem do Quincoê,ACOPIARA,224701,"Rua Luiz Gonzaga de Mendonça, s/n",UNBAJ-ACOPIARA,CAGECE - UNBAJ,Alcalinidade - Hidróxidos,"2320 B, SMEWW 23rd Ed., 2017",2,0,0,Ausente,1000000,24/05/2019,24/05/2019,0
N?  2191803-A/2191803/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Saída do poço,Poço,CARIÚS,327714,Sítio Mirador - Cariús,CARIÚS-COLETA PARTICULAR,Francisco Pereira Albuquerque,Alcalinidade - Hidróxidos,"2320 B, SMEWW 23rd Ed., 2017",230,0,0,Ausente,1000000,22/05/2019,22/05/2019,0
N?  2215502-A/2215502/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Saída do poço / Água bruta,Poço,ACOPIARA,329134,Sítio Boiote - Zona Rural de Acopiara,ACOPIARA - COLETA PARTICULAR,José Pinheiro de Souza,Alcalinidade - Hidróxidos,"2320 B, SMEWW 23rd Ed., 2017",262,0,0,Ausente,1000000,07/08/2019,07/08/2019,0
N?  2191803-A/2191803/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Saída do poço,Poço,CARIÚS,327714,Sítio Mirador - Cariús,CARIÚS-COLETA PARTICULAR,Francisco Pereira Albuquerque,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",230,0,"0,004",0,1000000,22/05/2019,22/05/2019,0
N?  2215502-A/2215502/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Saída do poço / Água bruta,Poço,ACOPIARA,329134,Sítio Boiote - Zona Rural de Acopiara,ACOPIARA - COLETA PARTICULAR,José Pinheiro de Souza,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",262,0,0,ND,1000000,07/08/2019,07/08/2019,0
N?  2200902-A/2200902/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Saída do poço / Água bruta,Poço,CAMPOS SALES,237395,Sítio Inharé - Campos Sales,SISAR-BAJ - CAMPOS SALES,SISAR-BAJ,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",346,0,0,ND,1000000,13/06/2019,13/06/2019,0
N?  2213520-A/2213520/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Saída do poço / Água bruta,Poço  1,CAMPOS SALES,328966,Próximo a Ponte - Sítio Itaguá - Campos Sales,SISAR-BAJ - CAMPOS SALES,SISAR-BAJ,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",361,0,0,ND,1000000,30/07/2019,30/07/2019,0
N?  2213521-A/2213521/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Saída do poço / Água bruta,Poço 2,CAMPOS SALES,328967,Próximo a Capela - Sítio Itaguá - Campos Sales,SISAR-BAJ - CAMPOS SALES,SISAR-BAJ,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",362,0,0,ND,1000000,30/07/2019,30/07/2019,0
N?  2209786-A/2209786/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Tubulação de saída do poço,Poço 1,SABOEIRO,328703,Saída para Arneiroz - Flamengo,SISAR-BAJ - SABOEIRO,SISAR - BAJ,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",481,0,0,ND,1000000,16/07/2019,16/07/2019,0
N?  2209787-A/2209787/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Tubulação de saída do poço,Poço 2,SABOEIRO,328704,Saída para Acopiara - Flamengo,SISAR-BAJ - SABOEIRO,SISAR - BAJ,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",482,0,0,ND,1000000,16/07/2019,16/07/2019,0
N?  2209788-A/2209788/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Torneira de saída do poço,Poço 3,SABOEIRO,328705,Rua do Cemitério - Flamengo,SISAR-BAJ - SABOEIRO,SISAR - BAJ,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",483,0,0,ND,1000000,16/07/2019,16/07/2019,0
N?  2209785-A/2209785/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Direto do Açude,Açude,SABOEIRO,327961,"Estrada para Saboeiro, s/n - Flamengo",SISAR-BAJ - SABOEIRO,SISAR - BAJ,Alumínio,"3500-Al B, SMEWW 22nd Ed., 2012",484,0,"0,039","0,04",1000000,16/07/2019,16/07/2019,0
N?  2191787-A/2191787/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Próximo à Captação,Barragem do Quincoê,ACOPIARA,224701,"Rua Luiz Gonzaga de Mendonça, s/n",UNBAJ-ACOPIARA,CAGECE - UNBAJ,Aluminio Dissolvido,"3500-Al B, SMEWW 22nd Ed., 2012",2,0,"0,012","0,01",1000000,24/05/2019,24/05/2019,0
N?  2200905-A/2200905/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Direto do Açude,Açude,CARIÚS,327952,Sítio Muquem - Cariús,SISAR-BAJ - CARIÚS,SISAR - BAJ,Aluminio Dissolvido,"3500-Al B, SMEWW 22nd Ed., 2012",347,0,"0,023","0,02",1000000,13/06/2019,13/06/2019,0
N?  2200906-A/2200906/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Direto do Açude,Açude,CAMPOS SALES,328200,Sítio Pé de Serra - Campos Sales,SISAR-BAJ - CAMPOS SALES,SISAR - BAJ,Aluminio Dissolvido,"3500-Al B, SMEWW 22nd Ed., 2012",348,0,"0,006","0,01",1000000,13/06/2019,13/06/2019,0
N?  2191787-A/2191787/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Próximo à Captação,Barragem do Quincoê,ACOPIARA,224701,"Rua Luiz Gonzaga de Mendonça, s/n",UNBAJ-ACOPIARA,CAGECE - UNBAJ,Amônia,"4500-NH3 D, SMEWW 22nd Ed., 2012",2,0,"0,596","0,6",1000,24/05/2019,24/05/2019,0
N?  2191803-A/2191803/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Saída do poço,Poço,CARIÚS,327714,Sítio Mirador - Cariús,CARIÚS-COLETA PARTICULAR,Francisco Pereira Albuquerque,Amônia,"4500-NH3 D, SMEWW 22nd Ed., 2012",230,0,0,ND,1000,22/05/2019,22/05/2019,0
N?  2215502-A/2215502/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Saída do poço / Água bruta,Poço,ACOPIARA,329134,Sítio Boiote - Zona Rural de Acopiara,ACOPIARA - COLETA PARTICULAR,José Pinheiro de Souza,Amônia,"4500-NH3 D, SMEWW 22nd Ed., 2012",262,0,"0,914","0,91",1000,07/08/2019,07/08/2019,0
N?  2200902-A/2200902/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Saída do poço / Água bruta,Poço,CAMPOS SALES,237395,Sítio Inharé - Campos Sales,SISAR-BAJ - CAMPOS SALES,SISAR-BAJ,Amônia - Nesslerização,"4500-NH3 D, SMEWW 22nd Ed., 2012",346,0,"0,605","0,6",1000000,13/06/2019,13/06/2019,0
N?  2200905-A/2200905/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Direto do Açude,Açude,CARIÚS,327952,Sítio Muquem - Cariús,SISAR-BAJ - CARIÚS,SISAR - BAJ,Amônia - Nesslerização,"4500-NH3 D, SMEWW 22nd Ed., 2012",347,0,"0,012","0,01",1000000,13/06/2019,13/06/2019,0
N?  2200906-A/2200906/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Direto do Açude,Açude,CAMPOS SALES,328200,Sítio Pé de Serra - Campos Sales,SISAR-BAJ - CAMPOS SALES,SISAR - BAJ,Amônia - Nesslerização,"4500-NH3 D, SMEWW 22nd Ed., 2012",348,0,"0,13","0,13",1000000,13/06/2019,13/06/2019,0
N?  2213520-A/2213520/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Saída do poço / Água bruta,Poço  1,CAMPOS SALES,328966,Próximo a Ponte - Sítio Itaguá - Campos Sales,SISAR-BAJ - CAMPOS SALES,SISAR-BAJ,Amônia - Nesslerização,"4500-NH3 D, SMEWW 22nd Ed., 2012",361,0,"0,517","0,52",1000000,30/07/2019,30/07/2019,0
N?  2213521-A/2213521/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Saída do poço / Água bruta,Poço 2,CAMPOS SALES,328967,Próximo a Capela - Sítio Itaguá - Campos Sales,SISAR-BAJ - CAMPOS SALES,SISAR-BAJ,Amônia - Nesslerização,"4500-NH3 D, SMEWW 22nd Ed., 2012",362,0,"1,531","1,53",1000000,30/07/2019,30/07/2019,0
N?  2209786-A/2209786/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Tubulação de saída do poço,Poço 1,SABOEIRO,328703,Saída para Arneiroz - Flamengo,SISAR-BAJ - SABOEIRO,SISAR - BAJ,Amônia - Nesslerização,"4500-NH3 D, SMEWW 22nd Ed., 2012",481,0,"0,258","0,26",1000000,16/07/2019,16/07/2019,0
N?  2209787-A/2209787/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Tubulação de saída do poço,Poço 2,SABOEIRO,328704,Saída para Acopiara - Flamengo,SISAR-BAJ - SABOEIRO,SISAR - BAJ,Amônia - Nesslerização,"4500-NH3 D, SMEWW 22nd Ed., 2012",482,0,"0,406","0,41",1000000,16/07/2019,16/07/2019,0
N?  2209788-A/2209788/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Torneira de saída do poço,Poço 3,SABOEIRO,328705,Rua do Cemitério - Flamengo,SISAR-BAJ - SABOEIRO,SISAR - BAJ,Amônia - Nesslerização,"4500-NH3 D, SMEWW 22nd Ed., 2012",483,0,"0,496","0,5",1000000,16/07/2019,16/07/2019,0
N?  2209785-A/2209785/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Direto do Açude,Açude,SABOEIRO,327961,"Estrada para Saboeiro, s/n - Flamengo",SISAR-BAJ - SABOEIRO,SISAR - BAJ,Amônia - Nesslerização,"4500-NH3 D, SMEWW 22nd Ed., 2012",484,0,"0,828","0,83",1000000,16/07/2019,16/07/2019,0
N?  2191787-A/2191787/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Próximo à Captação,Barragem do Quincoê,ACOPIARA,224701,"Rua Luiz Gonzaga de Mendonça, s/n",UNBAJ-ACOPIARA,CAGECE - UNBAJ,Cálcio,"3500-Ca B, SMEWW 23rd Ed., 2017",2,0,"19,47","19,47",1000000,24/05/2019,24/05/2019,0
N?  2191803-A/2191803/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Saída do poço,Poço,CARIÚS,327714,Sítio Mirador - Cariús,CARIÚS-COLETA PARTICULAR,Francisco Pereira Albuquerque,Cálcio,"3500-Ca B, SMEWW 23rd Ed., 2017",230,0,"23,53","23,53",1000000,22/05/2019,22/05/2019,0
N?  2215502-A/2215502/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Saída do poço / Água bruta,Poço,ACOPIARA,329134,Sítio Boiote - Zona Rural de Acopiara,ACOPIARA - COLETA PARTICULAR,José Pinheiro de Souza,Cálcio,"3500-Ca B, SMEWW 23rd Ed., 2017",262,0,"235,05","235,05",1000000,07/08/2019,07/08/2019,0
N?  2191787-A/2191787/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Próximo à Captação,Barragem do Quincoê,ACOPIARA,224701,"Rua Luiz Gonzaga de Mendonça, s/n",UNBAJ-ACOPIARA,CAGECE - UNBAJ,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",2,0,22,22,1000000,24/05/2019,24/05/2019,0
N?  2191803-A/2191803/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Saída do poço,Poço,CARIÚS,327714,Sítio Mirador - Cariús,CARIÚS-COLETA PARTICULAR,Francisco Pereira Albuquerque,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",230,0,50,50,1000000,22/05/2019,22/05/2019,0
N?  2215502-A/2215502/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Saída do poço / Água bruta,Poço,ACOPIARA,329134,Sítio Boiote - Zona Rural de Acopiara,ACOPIARA - COLETA PARTICULAR,José Pinheiro de Souza,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",262,0,637,637,1000000,07/08/2019,07/08/2019,0
N?  2200902-A/2200902/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Saída do poço / Água bruta,Poço,CAMPOS SALES,237395,Sítio Inharé - Campos Sales,SISAR-BAJ - CAMPOS SALES,SISAR-BAJ,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",346,0,317,317,1000000,13/06/2019,13/06/2019,0
N?  2200905-A/2200905/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Direto do Açude,Açude,CARIÚS,327952,Sítio Muquem - Cariús,SISAR-BAJ - CARIÚS,SISAR - BAJ,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",347,0,10,10,1000000,13/06/2019,13/06/2019,0
N?  2200906-A/2200906/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Direto do Açude,Açude,CAMPOS SALES,328200,Sítio Pé de Serra - Campos Sales,SISAR-BAJ - CAMPOS SALES,SISAR - BAJ,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",348,0,39,39,1000000,13/06/2019,13/06/2019,0
N?  2213520-A/2213520/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Saída do poço / Água bruta,Poço  1,CAMPOS SALES,328966,Próximo a Ponte - Sítio Itaguá - Campos Sales,SISAR-BAJ - CAMPOS SALES,SISAR-BAJ,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",361,0,361,361,1000000,30/07/2019,30/07/2019,0
N?  2213521-A/2213521/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Saída do poço / Água bruta,Poço 2,CAMPOS SALES,328967,Próximo a Capela - Sítio Itaguá - Campos Sales,SISAR-BAJ - CAMPOS SALES,SISAR-BAJ,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",362,0,405,405,1000000,30/07/2019,30/07/2019,0
N?  2209786-A/2209786/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Tubulação de saída do poço,Poço 1,SABOEIRO,328703,Saída para Arneiroz - Flamengo,SISAR-BAJ - SABOEIRO,SISAR - BAJ,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",481,0,507,507,1000000,16/07/2019,16/07/2019,0
N?  2209787-A/2209787/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Tubulação de saída do poço,Poço 2,SABOEIRO,328704,Saída para Acopiara - Flamengo,SISAR-BAJ - SABOEIRO,SISAR - BAJ,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",482,0,187,187,1000000,16/07/2019,16/07/2019,0
N?  2209788-A/2209788/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Torneira de saída do poço,Poço 3,SABOEIRO,328705,Rua do Cemitério - Flamengo,SISAR-BAJ - SABOEIRO,SISAR - BAJ,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",483,0,129,129,1000000,16/07/2019,16/07/2019,0
N?  2209785-A/2209785/UN-BAJ,UN-BAJ,Água Bruta Classe 2,Completa,Direto do Açude,Açude,SABOEIRO,327961,"Estrada para Saboeiro, s/n - Flamengo",SISAR-BAJ - SABOEIRO,SISAR - BAJ,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",484,0,367,367,1000000,16/07/2019,16/07/2019,0
N?  2195488-A/2195488/UN-BAJ,UN-BAJ,Água Tratada Saída Sistema,ARCE,Torneira de saída da ETA,Açude Belo Horizonte,POTENGI,327881,ETA - Sítio Pau Preto,UNBAJ-POTENGI,ARCE (UN-BAJ),Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",2000,0,"38,61372","38,61",250,30/05/2019,31/05/2019,0
N?  2208763-A/2208763/UN-BAJ,UN-BAJ,Água Tratada Saída Sistema,ARCE,Torneira de saída do tratamento,Açude do Orós,ORÓS,328624,"Vila DNOCS, s/n",UNBAJ-OROS,UN-BAJ,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",2000,0,"50,9016","50,9",250,11/07/2019,12/07/2019,0
N?  2192053-A/2192053/UN-BAJ,UN-BAJ,Água Tratada Saída Sistema,ARCE,Torneira de saída da ETA,Poço Amazonas,CARIÚS,327755,"ETA - Rua Manoel Nogueira Bezerra, s/n",UNBAJ-CARIÚS,ARCE (UN-BAJ),Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",2001,0,"34,83206","34,83",250,23/05/2019,24/05/2019,0
N?  2208780-A/2208780/UN-BAJ,UN-BAJ,Água Tratada Saída Sistema,ARCE,Torneira de saída do tratamento,Canal do Orós - Lima Campos,GUASSUSSÊ,328632,"Rua da ETA, s/n",UNBAJ - GUASSUSSÊ,UN-BAJ - ARCE,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",2008,0,"62,3244","62,32",250,11/07/2019,12/07/2019,0
N?  2209649-A/2209649/UN-BAJ,UN-BAJ,Água Tratada Saída Sistema,ARCE,Torneira de saída da ETA,Açude do Trussu e Açude Raimundo Moraes,ACOPIARA,328694,"ETA - Rua Luiz Gonzaga de Mendonça, s/n",UNBAJ-ACOPIARA,UN-BAJ - ARCE,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",2008,0,"104,6088","104,61",250,16/07/2019,17/07/2019,0
N?  2208780-A/2208780/UN-BAJ,UN-BAJ,Água Tratada Saída Sistema,ARCE,Torneira de saída do tratamento,Canal do Orós - Lima Campos,GUASSUSSÊ,328632,"Rua da ETA, s/n",UNBAJ - GUASSUSSÊ,UN-BAJ - ARCE,Cloreto,"4500-Cl G, SMEWW 22nd Ed., 2012",2008,0,"62,3244","62,32",250,11/07/2019,12/07/2019,0
N?  2208793-A/2208793/UN-BAJ,UN-BAJ,Água Tratada Saída Sistema,ARCE,Torneira de saída do tratamento,"Poços, Canal do Orós",PALESTINA,328638,"Rua Padre Cícero, s/n",UNBAJ-Palestina do Oros,UN-BAJ - ARCE,Cloreto,"4500-Cl G, SMEWW 22nd Ed., 2012",2014,0,"124,3482","124,35",250,11/07/2019,12/07/2019,0
N?  2208793-A/2208793/UN-BAJ,UN-BAJ,Água Tratada Saída Sistema,ARCE,Torneira de saída do tratamento,"Poços, Canal do Orós",PALESTINA,328638,"Rua Padre Cícero, s/n",UNBAJ-Palestina do Oros,UN-BAJ - ARCE,Cloreto,"4500-Cl- B, SMEWW 22nd Ed., 2012",2014,0,"124,3482","124,35",250,11/07/2019,12/07/2019,0
N?  2213854-A/2213854/UN-BAJ,UN-BAJ,Água Tratada Saída Sistema,Completa,Torneira de saída da ETA,Canal do Orós - Lima Campos,GUASSUSSÊ,46811,"Rua da ETA, s/n - Bairro Alto do Cruzeiro",UNBAJ - GUASSUSSÊ,CAGECE - UNBAJ,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",3,0,3,3,10000000,04/08/2019,05/08/2019,0
N?  2199004-A/2199004/UN-BAJ,UN-BAJ,Água Tratada Saída Sistema,Completa,Torneira de saída da ETA,Açude João Luís,ALAGOINHA,224624,"ETA - Rua João Luis, s/n",UNBAJ-ALAGOINHA,CAGECE - UNBAJ,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",3,0,3,3,10000000,03/06/2019,04/06/2019,0
N?  2213855-A/2213855/UN-BAJ,UN-BAJ,Água Tratada Saída Sistema,Completa,Torneira de saída da ETA,Canal do Orós - Lima Campos,GUASSUSSÊ,46811,"Rua da ETA, s/n - Bairro Alto do Cruzeiro",UNBAJ - GUASSUSSÊ,CAGECE - UNBAJ,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",4,0,3,3,10000000,05/08/2019,05/08/2019,0
N?  2205007-A/2205007/UN-BAJ,UN-BAJ,Água Tratada Saída Sistema,Completa,Torneira de saída da ETA,Barragem do Rio Jaguaribe,ARNEIROZ,196881,"Rua Governador Virgílio Távora, s/n - Estrada para Aiuaba",UNBAJ-ARNEIROZ,CAGECE - UNBAJ,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",4,0,"3,5","3,5",10000000,01/07/2019,01/07/2019,0
N?  2199006-A/2199006/UN-BAJ,UN-BAJ,Água Tratada Saída Sistema,Completa,Torneira de entrada da ETA,Açude João Luís,ALAGOINHA,224624,"ETA - Rua João Luis, s/n",UNBAJ-ALAGOINHA,CAGECE - UNBAJ,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",4,0,3,3,10000000,04/06/2019,04/06/2019,0
N?  2186820-A/2186820/UN-BAJ,UN-BAJ,Água Tratada Saída Sistema,Completa,Torneira de saída da ETA,Açude do Trussu,ACOPIARA,223086,"ETA - Rua Luiz Gonzaga de Mendonça, s/n",UNBAJ-ACOPIARA,CAGECE - UNBAJ,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",5,0,3,3,10000000,02/05/2019,02/05/2019,0
N?  2205008-A/2205008/UN-BAJ,UN-BAJ,Água Tratada Saída Sistema,Completa,Torneira de saída da ETA,Barragem do Rio Jaguaribe,ARNEIROZ,196881,"Rua Governador Virgílio Távora, s/n - Estrada para Aiuaba",UNBAJ-ARNEIROZ,CAGECE - UNBAJ,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",5,0,"3,5","3,5",10000000,03/07/2019,03/07/2019,0
